2.46,2.29,2.08,1.85,1.61,1.38,1.17,0.978,0.809,0.664,0.542,0.439,0.355,0.286,0.23,0.184,0.146,0.117,0.0937,0.0745,0.0593,0.047,0.0374,0.0297,0.0236,0.0187,0.0147,0.0117,0.00925,0.0073,0.00575,0.0045,0.00353,0.00276,0.00214,0.00165,0.00127,0.00097,0.000731,0.000547,0.000409,0.00031,0.00025,0.000222,0.0002,0.000192,0.000192,0.000167,0.000108,6.61E-05,4.07E-05,2.52E-05
0.229,0.237,0.251,0.267,0.291,0.324,0.362,0.401,0.451,0.524,0.626,0.724,0.798,0.86,0.91,0.945,0.961,0.97,0.979,0.977,0.956,0.938,0.912,0.886,0.856,0.823,0.796,0.765,0.727,0.696,0.668,0.636,0.604,0.576,0.549,0.518,0.491,0.467,0.441,0.412,0.381,0.348,0.305,0.254,0.203,0.154,0.107,0.07,0.0448,0.0266,0.0154,0.0101
0.194,0.201,0.209,0.223,0.243,0.271,0.303,0.337,0.382,0.448,0.549,0.651,0.727,0.802,0.864,0.913,0.951,0.98,1,1.02,1.02,1.02,1.02,1,0.985,0.963,0.945,0.924,0.895,0.869,0.843,0.82,0.795,0.77,0.743,0.715,0.689,0.665,0.642,0.615,0.587,0.55,0.503,0.446,0.374,0.293,0.217,0.151,0.0983,0.0592,0.0352,0.023
0.163,0.169,0.178,0.189,0.206,0.229,0.255,0.284,0.322,0.382,0.472,0.562,0.639,0.715,0.778,0.833,0.881,0.918,0.957,0.982,0.993,1.01,1.02,1.02,1.01,1.01,0.99,0.983,0.973,0.957,0.936,0.917,0.903,0.883,0.866,0.849,0.829,0.811,0.793,0.78,0.761,0.731,0.696,0.641,0.557,0.461,0.356,0.254,0.17,0.108,0.0658,0.0425
0.116,0.12,0.125,0.133,0.145,0.161,0.18,0.2,0.227,0.268,0.331,0.399,0.459,0.517,0.571,0.62,0.666,0.706,0.745,0.781,0.807,0.832,0.849,0.864,0.88,0.891,0.901,0.909,0.912,0.914,0.916,0.916,0.915,0.913,0.91,0.909,0.909,0.912,0.918,0.929,0.941,0.95,0.952,0.933,0.878,0.783,0.656,0.503,0.361,0.243,0.15,0.0979
0.0785,0.0814,0.0863,0.0906,0.0983,0.11,0.121,0.135,0.154,0.181,0.224,0.272,0.313,0.355,0.391,0.423,0.459,0.496,0.528,0.554,0.578,0.604,0.624,0.639,0.657,0.675,0.687,0.7,0.718,0.73,0.74,0.747,0.753,0.767,0.773,0.782,0.797,0.812,0.835,0.862,0.902,0.952,1,1.03,1.04,1,0.893,0.735,0.559,0.399,0.26,0.174
0.0344,0.0358,0.0374,0.04,0.0433,0.0478,0.0535,0.0596,0.0673,0.0798,0.0986,0.118,0.136,0.155,0.172,0.188,0.204,0.218,0.234,0.249,0.26,0.273,0.285,0.295,0.307,0.319,0.329,0.339,0.35,0.359,0.369,0.38,0.39,0.402,0.412,0.425,0.44,0.459,0.484,0.517,0.565,0.632,0.72,0.825,0.935,1.02,1.04,0.981,0.829,0.662,0.462,0.322
0.0144,0.0149,0.0154,0.0164,0.0179,0.0199,0.0226,0.0249,0.0283,0.0332,0.0408,0.049,0.0565,0.0642,0.0712,0.0775,0.0838,0.0903,0.0967,0.103,0.107,0.112,0.118,0.124,0.128,0.133,0.138,0.144,0.148,0.152,0.158,0.164,0.17,0.174,0.181,0.188,0.197,0.207,0.222,0.243,0.271,0.317,0.383,0.478,0.604,0.749,0.883,0.914,0.878,0.786,0.585,0.431
